Postcode,ABN,StartYear,EndYear
5523,70176978341,2006.1666666666667,2015.5833333333333
5114,49556202060,2005.1666666666667,2015.5833333333333
5045,93992974130,2012.6666666666667,2015.5833333333333
5155,80312458008,2013.4166666666667,2015.5833333333333
5355,15102259076,2002.75,2015.5833333333333
5043,82502024542,2013.5,2015.5833333333333
5087,32327747121,2014.9166666666667,2015.5833333333333
5165,57008086235,2000.1666666666667,2015.5833333333333
5000,42145678977,2010.6666666666667,2015.5833333333333
5608,33131392875,2008.5,2015.5833333333333
5251,31822163740,2011.0,2015.5833333333333
5173,66195044287,2014.9166666666667,2015.5833333333333
5238,56939378682,2012.75,2010.9166666666667
5016,85323257280,2014.0,2015.5833333333333
5159,29007822433,2000.5833333333333,2015.0833333333333
5048,45935875151,2013.3333333333333,2015.5833333333333
5167,82612381296,2014.75,2015.5833333333333
5153,95901714769,2013.0833333333333,2015.5833333333333
5033,45137147105,2009.4166666666667,2015.5833333333333
5085,79055177833,2011.3333333333333,2015.5833333333333
5214,16007806617,2000.0833333333333,2015.5833333333333
5045,21914009271,2000.0833333333333,2015.5833333333333
5118,92287654480,2013.0833333333333,2015.5833333333333
5063,71446455884,2007.3333333333333,2015.5833333333333
5000,41133216583,2008.75,2015.5833333333333
5114,44110236443,2004.6666666666667,2004.5833333333333
5018,14126736052,2007.5833333333333,2015.5833333333333
5291,25720407533,2005.25,2015.5833333333333
5040,50144394122,2008.3333333333333,2015.5833333333333
5084,15904975703,2012.75,2015.5833333333333
5152,15714284784,2010.3333333333333,2015.5833333333333
5033,64131014237,2006.6666666666667,2015.5833333333333
5047,83617895365,2014.1666666666667,2015.5833333333333
5087,28795475058,2013.5,2015.5833333333333
5034,74411084553,2014.5833333333333,2015.5833333333333
5159,17322719188,2010.75,2015.5833333333333
5012,37564052763,2004.5,2015.5833333333333
5158,40616506184,1998.3333333333333,2015.3333333333333
5108,75704094104,2013.3333333333333,2015.5833333333333
5023,47441054966,2010.5833333333333,2015.5833333333333
5025,58028425264,2012.25,2015.5833333333333
5000,83730560274,2014.75,2015.5833333333333
5000,60781131533,2000.0833333333333,2015.5833333333333
5201,20710245277,2014.9166666666667,2015.5833333333333
5160,13007910278,2000.1666666666667,2015.5833333333333
5039,77008109868,2000.4166666666667,2015.5833333333333
5158,54377240040,2014.9166666666667,2015.5833333333333
5021,17899801567,2008.4166666666667,2015.5833333333333
5091,53188614994,2008.0833333333333,2015.5833333333333
5108,51512846186,2006.25,2015.5833333333333
5022,29420681695,2013.8333333333333,2015.5833333333333
5085,54871580421,2001.75,2015.5833333333333
5245,64140282748,2009.8333333333333,2015.5833333333333
5290,39298062715,2000.4166666666667,2015.5833333333333
5114,54673985159,2012.5833333333333,2015.5833333333333
5087,97138032210,2009.5833333333333,2015.5833333333333
5290,95012816023,2008.0,2015.5833333333333
5044,20152624041,2011.6666666666667,2015.5833333333333
5000,81109214459,2004.4166666666667,2015.5833333333333
5000,26158633544,2012.4166666666667,2015.5833333333333
5157,52280015935,2014.25,2015.5833333333333
5095,95176227545,2011.0,2015.5833333333333
5162,99632652212,2013.9166666666667,2015.5833333333333
5000,84603977091,2015.1666666666667,2015.5833333333333
5276,37859784741,1999.9166666666667,2015.5833333333333
